uid	index	classes
airplane-file0000	0	airplane
airplane-file0001	1	airplane
airplane-file0002	2	airplane
airplane-file0003	3	airplane
airplane-file0004	4	ship
airplane-file0005	5	airplane
airplane-file0006	6	airplane
airplane-file0007	7	bird
airplane-file0008	8	airplane
airplane-file0009	9	dog
airplane-file0010	10	car
airplane-file0011	11	airplane
airplane-file0012	12	airplane
airplane-file0013	13	airplane
airplane-file0014	14	airplane
airplane-file0015	15	airplane
airplane-file0016	16	airplane
airplane-file0017	17	airplane
airplane-file0018	18	airplane
airplane-file0019	19	airplane
airplane-file0020	20	airplane
airplane-file0021	21	airplane
airplane-file0022	22	bird
airplane-file0023	23	airplane
airplane-file0024	24	car
airplane-file0025	25	ship
airplane-file0026	26	airplane
airplane-file0027	27	airplane
airplane-file0028	28	airplane
airplane-file0029	29	ship
airplane-file0030	30	airplane
airplane-file0031	31	airplane
airplane-file0032	32	airplane
airplane-file0033	33	airplane
airplane-file0034	34	airplane
airplane-file0035	35	car
airplane-file0036	36	truck
airplane-file0037	37	airplane
airplane-file0038	38	airplane
airplane-file0039	39	airplane
airplane-file0040	40	car
airplane-file0041	41	airplane
airplane-file0042	42	ship
airplane-file0043	43	ship
airplane-file0044	44	airplane
airplane-file0045	45	airplane
airplane-file0046	46	airplane
airplane-file0047	47	airplane
airplane-file0048	48	airplane
airplane-file0049	49	car
airplane-file0050	50	airplane
airplane-file0051	51	dog
airplane-file0052	52	airplane
airplane-file0053	53	airplane
airplane-file0054	54	airplane
airplane-file0055	55	airplane
airplane-file0056	56	airplane
airplane-file0057	57	horse
airplane-file0058	58	truck
airplane-file0059	59	bird
airplane-file0060	60	airplane
airplane-file0061	61	airplane
airplane-file0062	62	airplane
airplane-file0063	63	ship
airplane-file0064	64	airplane
airplane-file0065	65	airplane
airplane-file0066	66	horse
airplane-file0067	67	airplane
airplane-file0068	68	airplane
airplane-file0069	69	ship
airplane-file0070	70	bird
airplane-file0071	71	airplane
airplane-file0072	72	airplane
airplane-file0073	73	airplane
airplane-file0074	74	airplane
airplane-file0075	75	truck
airplane-file0076	76	airplane
airplane-file0077	77	bird
airplane-file0078	78	airplane
airplane-file0079	79	airplane
airplane-file0080	80	airplane
airplane-file0081	81	bird
airplane-file0082	82	airplane
airplane-file0083	83	airplane
airplane-file0084	84	airplane
airplane-file0085	85	airplane
airplane-file0086	86	airplane
airplane-file0087	87	truck
airplane-file0088	88	airplane
airplane-file0089	89	airplane
airplane-file0090	90	airplane
airplane-file0091	91	airplane
airplane-file0092	92	airplane
airplane-file0093	93	airplane
airplane-file0094	94	airplane
airplane-file0095	95	ship
airplane-file0096	96	airplane
airplane-file0097	97	airplane
airplane-file0098	98	airplane
airplane-file0099	99	airplane
airplane-file0100	100	airplane
airplane-file0101	101	airplane
airplane-file0102	102	ship
airplane-file0103	103	truck
airplane-file0104	104	airplane
airplane-file0105	105	airplane
airplane-file0106	106	airplane
airplane-file0107	107	truck
airplane-file0108	108	airplane
airplane-file0109	109	airplane
airplane-file0110	110	ship
airplane-file0111	111	ship
airplane-file0112	112	airplane
airplane-file0113	113	airplane
airplane-file0114	114	car
airplane-file0115	115	airplane
airplane-file0116	116	airplane
airplane-file0117	117	airplane
airplane-file0118	118	airplane
airplane-file0119	119	deer
airplane-file0120	120	airplane
airplane-file0121	121	airplane
airplane-file0122	122	airplane
airplane-file0123	123	airplane
airplane-file0124	124	bird
airplane-file0125	125	airplane
airplane-file0126	126	airplane
airplane-file0127	127	airplane
airplane-file0128	128	ship
airplane-file0129	129	airplane
airplane-file0130	130	airplane
airplane-file0131	131	ship
airplane-file0132	132	airplane
airplane-file0133	133	airplane
airplane-file0134	134	airplane
airplane-file0135	135	horse
airplane-file0136	136	airplane
airplane-file0137	137	airplane
airplane-file0138	138	airplane
airplane-file0139	139	airplane
airplane-file0140	140	airplane
airplane-file0141	141	car
airplane-file0142	142	airplane
airplane-file0143	143	airplane
airplane-file0144	144	airplane
airplane-file0145	145	airplane
airplane-file0146	146	truck
airplane-file0147	147	airplane
airplane-file0148	148	airplane
airplane-file0149	149	truck
airplane-file0150	150	airplane
airplane-file0151	151	airplane
airplane-file0152	152	car
airplane-file0153	153	airplane
airplane-file0154	154	airplane
airplane-file0155	155	airplane
airplane-file0156	156	truck
airplane-file0157	157	airplane
airplane-file0158	158	airplane
airplane-file0159	159	airplane
airplane-file0160	160	truck
airplane-file0161	161	airplane
airplane-file0162	162	truck
airplane-file0163	163	airplane
airplane-file0164	164	airplane
airplane-file0165	165	airplane
airplane-file0166	166	airplane
airplane-file0167	167	ship
airplane-file0168	168	ship
airplane-file0169	169	airplane
airplane-file0170	170	airplane
airplane-file0171	171	airplane
airplane-file0172	172	truck
airplane-file0173	173	airplane
airplane-file0174	174	airplane
airplane-file0175	175	airplane
airplane-file0176	176	airplane
airplane-file0177	177	airplane
airplane-file0178	178	airplane
airplane-file0179	179	airplane
airplane-file0180	180	airplane
airplane-file0181	181	airplane
airplane-file0182	182	airplane
airplane-file0183	183	airplane
airplane-file0184	184	airplane
airplane-file0185	185	airplane
airplane-file0186	186	airplane
airplane-file0187	187	airplane
airplane-file0188	188	airplane
airplane-file0189	189	airplane
airplane-file0190	190	truck
airplane-file0191	191	truck
airplane-file0192	192	airplane
airplane-file0193	193	truck
airplane-file0194	194	bird
airplane-file0195	195	airplane
airplane-file0196	196	airplane
airplane-file0197	197	airplane
airplane-file0198	198	airplane
airplane-file0199	199	ship
airplane-file0200	200	airplane
airplane-file0201	201	airplane
airplane-file0202	202	airplane
airplane-file0203	203	truck
airplane-file0204	204	airplane
airplane-file0205	205	ship
airplane-file0206	206	airplane
airplane-file0207	207	airplane
