uid	index	classes
airplane-file0000	0	bird
airplane-file0001	1	truck
airplane-file0002	2	ship
airplane-file0003	3	truck
airplane-file0004	4	monkey
airplane-file0005	5	bird
airplane-file0006	6	monkey
airplane-file0007	7	deer
airplane-file0008	8	horse
airplane-file0009	9	dog
airplane-file0010	10	truck
airplane-file0011	11	monkey
airplane-file0012	12	bird
airplane-file0013	13	horse
airplane-file0014	14	monkey
airplane-file0015	15	airplane
airplane-file0016	16	airplane
airplane-file0017	17	deer
airplane-file0018	18	airplane
airplane-file0019	19	horse
airplane-file0020	20	deer
airplane-file0021	21	truck
airplane-file0022	22	dog
airplane-file0023	23	monkey
airplane-file0024	24	truck
airplane-file0025	25	ship
airplane-file0026	26	horse
airplane-file0027	27	deer
airplane-file0028	28	car
airplane-file0029	29	car
airplane-file0030	30	cat
airplane-file0031	31	horse
airplane-file0032	32	monkey
airplane-file0033	33	monkey
airplane-file0034	34	ship
airplane-file0035	35	airplane
airplane-file0036	36	ship
airplane-file0037	37	deer
airplane-file0038	38	car
airplane-file0039	39	car
airplane-file0040	40	monkey
airplane-file0041	41	cat
airplane-file0042	42	truck
airplane-file0043	43	horse
airplane-file0044	44	airplane
airplane-file0045	45	horse
airplane-file0046	46	deer
airplane-file0047	47	monkey
airplane-file0048	48	truck
airplane-file0049	49	cat
airplane-file0050	50	monkey
airplane-file0051	51	car
airplane-file0052	52	monkey
airplane-file0053	53	cat
airplane-file0054	54	monkey
airplane-file0055	55	airplane
airplane-file0056	56	monkey
airplane-file0057	57	truck
airplane-file0058	58	truck
airplane-file0059	59	car
airplane-file0060	60	monkey
airplane-file0061	61	horse
airplane-file0062	62	car
airplane-file0063	63	monkey
airplane-file0064	64	airplane
airplane-file0065	65	monkey
airplane-file0066	66	airplane
airplane-file0067	67	monkey
airplane-file0068	68	ship
airplane-file0069	69	monkey
airplane-file0070	70	car
airplane-file0071	71	horse
airplane-file0072	72	horse
airplane-file0073	73	dog
airplane-file0074	74	car
airplane-file0075	75	bird
airplane-file0076	76	truck
airplane-file0077	77	airplane
airplane-file0078	78	ship
airplane-file0079	79	car
airplane-file0080	80	deer
airplane-file0081	81	horse
airplane-file0082	82	monkey
airplane-file0083	83	monkey
airplane-file0084	84	dog
airplane-file0085	85	dog
airplane-file0086	86	monkey
airplane-file0087	87	monkey
airplane-file0088	88	monkey
airplane-file0089	89	ship
airplane-file0090	90	cat
airplane-file0091	91	car
airplane-file0092	92	airplane
airplane-file0093	93	deer
airplane-file0094	94	horse
airplane-file0095	95	car
airplane-file0096	96	deer
airplane-file0097	97	ship
airplane-file0098	98	horse
airplane-file0099	99	horse
airplane-file0100	100	ship
airplane-file0101	101	bird
airplane-file0102	102	car
airplane-file0103	103	cat
airplane-file0104	104	horse
airplane-file0105	105	deer
airplane-file0106	106	deer
airplane-file0107	107	airplane
airplane-file0108	108	deer
airplane-file0109	109	truck
airplane-file0110	110	airplane
airplane-file0111	111	airplane
airplane-file0112	112	monkey
airplane-file0113	113	monkey
airplane-file0114	114	car
airplane-file0115	115	deer
airplane-file0116	116	truck
airplane-file0117	117	car
airplane-file0118	118	monkey
airplane-file0119	119	horse
airplane-file0120	120	truck
airplane-file0121	121	bird
airplane-file0122	122	airplane
airplane-file0123	123	cat
airplane-file0124	124	cat
airplane-file0125	125	ship
airplane-file0126	126	truck
airplane-file0127	127	monkey
airplane-file0128	128	airplane
airplane-file0129	129	bird
airplane-file0130	130	monkey
airplane-file0131	131	car
airplane-file0132	132	horse
airplane-file0133	133	cat
airplane-file0134	134	monkey
airplane-file0135	135	airplane
airplane-file0136	136	bird
airplane-file0137	137	car
airplane-file0138	138	truck
airplane-file0139	139	ship
airplane-file0140	140	ship
airplane-file0141	141	airplane
airplane-file0142	142	deer
airplane-file0143	143	truck
airplane-file0144	144	monkey
airplane-file0145	145	monkey
airplane-file0146	146	monkey
airplane-file0147	147	car
airplane-file0148	148	deer
airplane-file0149	149	monkey
airplane-file0150	150	airplane
airplane-file0151	151	monkey
airplane-file0152	152	truck
airplane-file0153	153	ship
airplane-file0154	154	monkey
airplane-file0155	155	car
airplane-file0156	156	airplane
airplane-file0157	157	car
airplane-file0158	158	truck
airplane-file0159	159	truck
airplane-file0160	160	car
airplane-file0161	161	airplane
airplane-file0162	162	bird
airplane-file0163	163	airplane
airplane-file0164	164	monkey
airplane-file0165	165	truck
airplane-file0166	166	ship
airplane-file0167	167	cat
airplane-file0168	168	ship
airplane-file0169	169	deer
airplane-file0170	170	truck
airplane-file0171	171	horse
airplane-file0172	172	horse
airplane-file0173	173	airplane
airplane-file0174	174	bird
airplane-file0175	175	cat
airplane-file0176	176	horse
airplane-file0177	177	car
airplane-file0178	178	cat
airplane-file0179	179	car
airplane-file0180	180	airplane
airplane-file0181	181	deer
airplane-file0182	182	horse
airplane-file0183	183	bird
airplane-file0184	184	monkey
airplane-file0185	185	airplane
airplane-file0186	186	monkey
airplane-file0187	187	monkey
airplane-file0188	188	bird
airplane-file0189	189	cat
airplane-file0190	190	horse
airplane-file0191	191	ship
airplane-file0192	192	monkey
airplane-file0193	193	horse
airplane-file0194	194	monkey
airplane-file0195	195	monkey
airplane-file0196	196	dog
airplane-file0197	197	monkey
airplane-file0198	198	monkey
airplane-file0199	199	ship
airplane-file0200	200	horse
airplane-file0201	201	monkey
airplane-file0202	202	dog
airplane-file0203	203	car
airplane-file0204	204	horse
airplane-file0205	205	horse
airplane-file0206	206	monkey
airplane-file0207	207	deer
airplane-file0208	208	car
airplane-file0209	209	horse
airplane-file0210	210	truck
airplane-file0211	211	monkey
airplane-file0212	212	truck
airplane-file0213	213	monkey
airplane-file0214	214	truck
airplane-file0215	215	car
airplane-file0216	216	deer
airplane-file0217	217	truck
airplane-file0218	218	monkey
airplane-file0219	219	car
airplane-file0220	220	ship
airplane-file0221	221	truck
airplane-file0222	222	bird
airplane-file0223	223	dog
airplane-file0224	224	airplane
airplane-file0225	225	ship
airplane-file0226	226	ship
airplane-file0227	227	cat
airplane-file0228	228	ship
airplane-file0229	229	monkey
airplane-file0230	230	ship
airplane-file0231	231	ship
airplane-file0232	232	monkey
airplane-file0233	233	monkey
airplane-file0234	234	airplane
airplane-file0235	235	truck
airplane-file0236	236	horse
airplane-file0237	237	monkey
airplane-file0238	238	bird
airplane-file0239	239	dog
airplane-file0240	240	deer
airplane-file0241	241	monkey
airplane-file0242	242	car
airplane-file0243	243	horse
airplane-file0244	244	cat
airplane-file0245	245	horse
airplane-file0246	246	monkey
airplane-file0247	247	horse
airplane-file0248	248	ship
airplane-file0249	249	deer
airplane-file0250	250	airplane
airplane-file0251	251	monkey
airplane-file0252	252	bird
airplane-file0253	253	monkey
airplane-file0254	254	horse
airplane-file0255	255	bird
airplane-file0256	256	horse
airplane-file0257	257	monkey
airplane-file0258	258	horse
airplane-file0259	259	bird
airplane-file0260	260	airplane
airplane-file0261	261	truck
airplane-file0262	262	monkey
airplane-file0263	263	ship
airplane-file0264	264	monkey
airplane-file0265	265	ship
airplane-file0266	266	ship
airplane-file0267	267	monkey
airplane-file0268	268	airplane
airplane-file0269	269	deer
airplane-file0270	270	monkey
airplane-file0271	271	dog
airplane-file0272	272	ship
airplane-file0273	273	airplane
airplane-file0274	274	ship
airplane-file0275	275	monkey
airplane-file0276	276	deer
airplane-file0277	277	ship
airplane-file0278	278	deer
airplane-file0279	279	dog
airplane-file0280	280	deer
airplane-file0281	281	bird
airplane-file0282	282	bird
airplane-file0283	283	monkey
airplane-file0284	284	monkey
airplane-file0285	285	horse
airplane-file0286	286	bird
airplane-file0287	287	monkey
airplane-file0288	288	cat
airplane-file0289	289	ship
airplane-file0290	290	ship
airplane-file0291	291	cat
airplane-file0292	292	car
airplane-file0293	293	airplane
airplane-file0294	294	airplane
airplane-file0295	295	bird
airplane-file0296	296	airplane
airplane-file0297	297	horse
airplane-file0298	298	horse
airplane-file0299	299	cat
bird-file0000	300	horse
bird-file0001	301	cat
bird-file0002	302	ship
bird-file0003	303	cat
bird-file0004	304	deer
bird-file0005	305	ship
bird-file0006	306	horse
bird-file0007	307	deer
bird-file0008	308	ship
bird-file0009	309	dog
bird-file0010	310	airplane
bird-file0011	311	bird
bird-file0012	312	ship
bird-file0013	313	monkey
bird-file0014	314	monkey
bird-file0015	315	deer
bird-file0016	316	monkey
bird-file0017	317	monkey
bird-file0018	318	cat
bird-file0019	319	deer
bird-file0020	320	airplane
bird-file0021	321	car
bird-file0022	322	airplane
bird-file0023	323	ship
bird-file0024	324	ship
bird-file0025	325	ship
bird-file0026	326	horse
bird-file0027	327	car
bird-file0028	328	truck
bird-file0029	329	car
bird-file0030	330	truck
bird-file0031	331	horse
bird-file0032	332	airplane
bird-file0033	333	truck
bird-file0034	334	airplane
bird-file0035	335	airplane
bird-file0036	336	cat
bird-file0037	337	truck
bird-file0038	338	ship
bird-file0039	339	airplane
